"Column","Type","Extra","Comment"
fields__customfield_11862__timezone,varchar,"",""
fields__customfield_11863,varchar,"",""
fields__customfield_11863__active,varchar,"",""
fields__customfield_11863__avatarurls__16x16,varchar,"",""
fields__customfield_11863__avatarurls__24x24,varchar,"",""
fields__customfield_11863__avatarurls__32x32,varchar,"",""
fields__customfield_11863__avatarurls__48x48,varchar,"",""
fields__customfield_11863__displayname,varchar,"",""
fields__customfield_11863__emailaddress,varchar,"",""
fields__customfield_11863__key,varchar,"",""
fields__customfield_11863__name,varchar,"",""
fields__customfield_11863__self,varchar,"",""
fields__customfield_11863__timezone,varchar,"",""
fields__customfield_12350,varchar,"",""
fields__customfield_12351,varchar,"",""
fields__customfield_12352,varchar,"",""
fields__customfield_14151,varchar,"",""
fields__customfield_14151__disabled,varchar,"",""
fields__customfield_14151__id,varchar,"",""
fields__customfield_14151__self,varchar,"",""
fields__customfield_14151__value,varchar,"",""
fields__customfield_14152,varchar,"",""
fields__customfield_14152__disabled,varchar,"",""
fields__customfield_14152__id,varchar,"",""
fields__customfield_14152__self,varchar,"",""
fields__customfield_14152__value,varchar,"",""
fields__customfield_14160,varchar,"",""
fields__customfield_14160__disabled,varchar,"",""
fields__customfield_14160__id,varchar,"",""
fields__customfield_14160__self,varchar,"",""
fields__customfield_14160__value,varchar,"",""
fields__customfield_14161,varchar,"",""
fields__customfield_14162,varchar,"",""
fields__customfield_14162__disabled,varchar,"",""
fields__customfield_14162__id,varchar,"",""
fields__customfield_14162__self,varchar,"",""
fields__customfield_14162__value,varchar,"",""
fields__customfield_14163,varchar,"",""
fields__customfield_14164,varchar,"",""
fields__customfield_14250,varchar,"",""
fields__customfield_14264__disabled,varchar,"",""
fields__customfield_14264__id,varchar,"",""
fields__customfield_14264__self,varchar,"",""
fields__customfield_14264__value,varchar,"",""
fields__customfield_14265__disabled,varchar,"",""
fields__customfield_14265__id,varchar,"",""
fields__customfield_14265__self,varchar,"",""
fields__customfield_14265__value,varchar,"",""
fields__customfield_14270__errormessage,varchar,"",""
fields__customfield_14270__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_14270__i18nerrormessage__parameters,varchar,"",""
fields__customfield_14275__errormessage,varchar,"",""
fields__customfield_14275__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_14275__i18nerrormessage__parameters,varchar,"",""
fields__customfield_14352__errormessage,varchar,"",""
fields__customfield_14352__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_14352__i18nerrormessage__parameters,varchar,"",""
fields__customfield_14654,varchar,"",""
fields__customfield_16260__disabled,varchar,"",""
fields__customfield_16260__id,varchar,"",""
fields__customfield_16260__self,varchar,"",""
fields__customfield_16260__value,varchar,"",""
fields__customfield_18359__active,varchar,"",""
fields__customfield_18359__avatarurls__16x16,varchar,"",""
fields__customfield_18359__avatarurls__24x24,varchar,"",""
fields__customfield_18359__avatarurls__32x32,varchar,"",""
fields__customfield_18359__avatarurls__48x48,varchar,"",""
fields__customfield_18359__displayname,varchar,"",""
fields__customfield_18359__emailaddress,varchar,"",""
fields__customfield_18359__key,varchar,"",""
fields__customfield_18359__name,varchar,"",""
fields__customfield_18359__self,varchar,"",""
fields__customfield_18359__timezone,varchar,"",""
fields__customfield_18362__active,varchar,"",""
fields__customfield_18362__avatarurls__16x16,varchar,"",""
fields__customfield_18362__avatarurls__24x24,varchar,"",""
